연도,시도,시군구,졸업자,진학자, 진학률 
2010,서울,종로구,"5,030","3,017",60
2010,서울,중구,"3,719","2,313",62.2
2010,서울,용산구,"3,251","2,213",68.1
2010,서울,성동구,"2,182","1,460",66.9
2010,서울,광진구,"4,682","3,089",66
2010,서울,동대문구,"3,512","2,248",64
2010,서울,중랑구,"3,961","2,763",69.8
2010,서울,성북구,"4,909","3,135",63.9
2010,서울,강북구,"2,212","1,403",63.4
2010,서울,도봉구,"3,998","2,267",56.7
2010,서울,노원구,"11,197","6,858",61.2
2010,서울,은평구,"5,427","3,671",67.6
2010,서울,서대문구,"2,631","1,794",68.2
2010,서울,마포구,"2,780","1,730",62.2
2010,서울,양천구,"6,440","3,729",57.9
2010,서울,강서구,"8,795","5,717",65
2010,서울,구로구,"4,077","2,831",69.4
2010,서울,금천구,"2,674","1,839",68.8
2010,서울,영등포구,"3,867","2,455",63.5
2010,서울,동작구,"3,209","2,141",66.7
2010,서울,관악구,"5,149","3,360",65.3
2010,서울,서초구,"5,032","2,813",55.9
2010,서울,강남구,"9,118","5,175",56.8
2010,서울,송파구,"8,318","4,961",59.6
2010,서울,강동구,"6,083","3,826",62.9
2010,부산,중구,"1,254",946,75.4
2010,부산,서구,"1,530","1,120",73.2
2010,부산,동구,"2,068","1,824",88.2
2010,부산,영도구,"1,651","1,191",72.1
2010,부산,부산진구,"6,672","5,610",84.1
2010,부산,동래구,"5,398","4,642",86
2010,부산,남구,"4,698","3,933",83.7
2010,부산,북구,"3,499","3,057",87.4
2010,부산,해운대구,"4,485","3,374",75.2
2010,부산,사하구,"4,570","3,827",83.7
2010,부산,금정구,"4,408","3,592",81.5
2010,부산,강서구,804,733,91.2
2010,부산,연제구,"1,470","1,226",83.4
2010,부산,수영구,"1,676","1,392",83.1
2010,부산,사상구,"1,500","1,325",88.3
2010,부산,기장군,639,549,85.9
2010,대구,중구,"2,129","1,872",87.9
2010,대구,동구,"3,540","2,880",81.4
2010,대구,서구,"2,392","2,113",88.3
2010,대구,남구,"3,570","2,812",78.8
2010,대구,북구,"5,146","4,569",88.8
2010,대구,수성구,"7,916","6,329",80
2010,대구,달서구,"9,661","8,053",83.4
2010,대구,달성군,"1,647","1,441",87.5
2010,인천,중구,"2,982","2,078",69.7
2010,인천,동구,"1,228",902,73.5
2010,인천,남구,"6,006","4,399",73.2
2010,인천,연수구,"4,914","3,545",72.1
2010,인천,남동구,"4,636","3,905",84.2
2010,인천,부평구,"7,491","5,949",79.4
2010,인천,계양구,"4,335","3,553",82
2010,인천,서구,"4,436","3,461",78
2010,인천,강화군,689,641,93
2010,인천,옹진군,52,42,80.8
2010,광주,동구,"1,923","1,732",90.1
2010,광주,서구,"2,383","2,104",88.3
2010,광주,남구,"6,267","5,384",85.9
2010,광주,북구,"6,270","5,370",85.6
2010,광주,광산구,"4,400","3,650",83
2010,대전,동구,"3,303","2,651",80.3
2010,대전,중구,"5,152","3,913",76
2010,대전,서구,"5,997","4,829",80.5
2010,대전,유성구,"4,835","3,925",81.2
2010,대전,대덕구,"1,603","1,430",89.2
2010,울산,중구,"2,877","2,752",95.7
2010,울산,남구,"6,506","5,957",91.6
2010,울산,동구,"3,029","2,778",91.7
2010,울산,북구,"2,597","2,433",93.7
2010,울산,울주군,"2,136","1,898",88.9
2010,경기,수원시,"16,977","13,899",81.9
2010,경기,성남시,"13,314","9,385",70.5
2010,경기,부천시,"12,794","9,973",78
2010,경기,안양시,"10,449","7,739",74.1
2010,경기,과천시,"1,633","1,137",69.6
2010,경기,안산시,"10,733","8,882",82.8
2010,경기,용인시,"6,893","5,713",82.9
2010,경기,군포시,"3,710","2,735",73.7
2010,경기,의왕시,"1,173",864,73.7
2010,경기,시흥시,"5,031","4,056",80.6
2010,경기,평택시,"5,251","4,515",86
2010,경기,화성시,"2,532","2,062",81.4
2010,경기,오산시,"1,660","1,347",81.1
2010,경기,광명시,"4,039","3,073",76.1
2010,경기,광주시,"1,819","1,499",82.4
2010,경기,하남시,"1,606","1,357",84.5
2010,경기,김포시,"2,889","2,153",74.5
2010,경기,이천시,"2,601","2,221",85.4
2010,경기,안성시,"1,570","1,331",84.8
2010,경기,여주군,"1,317","1,119",85
2010,경기,양평군,"1,144",908,79.4
2010,경기,고양시,"13,401","9,460",70.6
2010,경기,남양주시,"5,144","4,069",79.1
2010,경기,구리시,"3,152","2,550",80.9
2010,경기,의정부시,"6,026","4,409",73.2
2010,경기,파주시,"2,703","2,134",78.9
2010,경기,동두천시,"1,243",816,65.6
2010,경기,양주시,"1,063",858,80.7
2010,경기,포천시,"1,777","1,458",82
2010,경기,가평군,643,545,84.8
2010,경기,연천군,473,424,89.6
2010,강원,춘천시,"3,456","2,949",85.3
2010,강원,원주시,"4,062","3,543",87.2
2010,강원,강릉시,"2,967","2,667",89.9
2010,강원,동해시,"1,124","1,006",89.5
2010,강원,태백시,543,454,83.6
2010,강원,속초시,"1,057",896,84.8
2010,강원,삼척시,701,608,86.7
2010,강원,홍천군,731,635,86.9
2010,강원,횡성군,570,534,93.7
2010,강원,영월군,437,358,81.9
2010,강원,평창군,343,311,90.7
2010,강원,정선군,336,264,78.6
2010,강원,철원군,545,484,88.8
2010,강원,화천군,191,159,83.2
2010,강원,양구군,204,192,94.1
2010,강원,인제군,285,253,88.8
2010,강원,고성군,368,295,80.2
2010,강원,양양군,234,215,91.9
2010,충북,청주시,"9,742","8,541",87.7
2010,충북,충주시,"2,722","2,305",84.7
2010,충북,제천시,"1,727","1,547",89.6
2010,충북,청원군,"1,454","1,184",81.4
2010,충북,보은군,384,315,82
2010,충북,옥천군,459,368,80.2
2010,충북,영동군,498,440,88.4
2010,충북,진천군,523,420,80.3
2010,충북,괴산군,158,118,74.7
2010,충북,음성군,632,511,80.9
2010,충북,단양군,219,190,86.8
2010,충북,증평군,610,461,75.6
2010,충남,천안시,"7,744","6,603",85.3
2010,충남,공주시,"1,863","1,553",83.4
2010,충남,보령시,"1,062",921,86.7
2010,충남,아산시,"1,912","1,654",86.5
2010,충남,서산시,"1,714","1,491",87
2010,충남,논산시,"1,924","1,510",78.5
2010,충남,계룡시,483,400,82.8
2010,충남,금산군,454,374,82.4
2010,충남,연기군,659,566,85.9
2010,충남,부여군,732,590,80.6
2010,충남,서천군,624,523,83.8
2010,충남,청양군,244,165,67.6
2010,충남,홍성군,"1,104",986,89.3
2010,충남,예산군,"1,030",891,86.5
2010,충남,태안군,634,572,90.2
2010,충남,당진군,"1,330","1,212",91.1
2010,전북,전주시,"8,878","7,787",87.7
2010,전북,군산시,"3,018","2,480",82.2
2010,전북,익산시,"4,253","3,388",79.7
2010,전북,정읍시,"1,779","1,538",86.5
2010,전북,남원시,951,780,82
2010,전북,김제시,"1,192",950,79.7
2010,전북,완주군,"1,193",921,77.2
2010,전북,진안군,167,109,65.3
2010,전북,무주군,218,187,85.8
2010,전북,장수군,265,182,68.7
2010,전북,임실군,123,89,72.4
2010,전북,순창군,256,238,93
2010,전북,고창군,845,717,84.9
2010,전북,부안군,536,446,83.2
2010,전남,목포시,"3,837","3,328",86.7
2010,전남,여수시,"3,860","3,211",83.2
2010,전남,순천시,"4,496","4,078",90.7
2010,전남,나주시,"1,100",870,79.1
2010,전남,광양시,"1,896","1,777",93.7
2010,전남,담양군,628,528,84.1
2010,전남,곡성군,349,304,87.1
2010,전남,구례군,197,182,92.4
2010,전남,고흥군,460,343,74.6
2010,전남,보성군,602,496,82.4
2010,전남,화순군,640,499,78
2010,전남,장흥군,395,315,79.7
2010,전남,강진군,461,349,75.7
2010,전남,해남군,602,441,73.3
2010,전남,영암군,403,336,83.4
2010,전남,무안군,473,406,85.8
2010,전남,함평군,459,415,90.4
2010,전남,영광군,703,564,80.2
2010,전남,장성군,534,415,77.7
